  0%|                                                                                                                                          | 0/1000 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                                                                                                                                        
{'loss': 5.9457, 'grad_norm': 1115.7037353515625, 'learning_rate': 2.0000000000000002e-07, 'epoch': 0.03}
{'loss': 1.2535, 'grad_norm': 4.141159534454346, 'learning_rate': 9.200000000000002e-06, 'epoch': 1.43}
{'loss': 1.1969, 'grad_norm': 3.567462205886841, 'learning_rate': 9.4e-06, 'epoch': 1.47}
{'loss': 1.2048, 'grad_norm': 3.6028313636779785, 'learning_rate': 9.600000000000001e-06, 'epoch': 1.5}
{'loss': 1.1538, 'grad_norm': 3.6686785221099854, 'learning_rate': 9.800000000000001e-06, 'epoch': 1.53}
{'loss': 1.1565, 'grad_norm': 3.5040535926818848, 'learning_rate': 1e-05, 'epoch': 1.56}
{'loss': 1.1139, 'grad_norm': 5.149317264556885, 'learning_rate': 9.990133642141359e-06, 'epoch': 1.59}
{'loss': 1.1183, 'grad_norm': 3.077237606048584, 'learning_rate': 9.960573506572391e-06, 'epoch': 1.62}
{'loss': 1.0824, 'grad_norm': 3.159205436706543, 'learning_rate': 9.911436253643445e-06, 'epoch': 1.65}
{'loss': 1.0858, 'grad_norm': 3.3255412578582764, 'learning_rate': 9.842915805643156e-06, 'epoch': 1.68}
{'loss': 1.0791, 'grad_norm': 2.961857318878174, 'learning_rate': 9.755282581475769e-06, 'epoch': 1.72}
{'loss': 1.0669, 'grad_norm': 3.093404531478882, 'learning_rate': 9.648882429441258e-06, 'epoch': 1.75}
{'loss': 1.0653, 'grad_norm': 3.2676122188568115, 'learning_rate': 9.524135262330098e-06, 'epoch': 1.78}
{'loss': 1.0494, 'grad_norm': 3.2797324657440186, 'learning_rate': 9.381533400219319e-06, 'epoch': 1.81}
{'loss': 1.0443, 'grad_norm': 2.863879919052124, 'learning_rate': 9.221639627510076e-06, 'epoch': 1.84}
{'loss': 1.0169, 'grad_norm': 3.0638906955718994, 'learning_rate': 9.045084971874738e-06, 'epoch': 1.87}
{'loss': 0.958, 'grad_norm': 3.054103136062622, 'learning_rate': 8.852566213878947e-06, 'epoch': 1.9}
{'loss': 1.017, 'grad_norm': 2.9556262493133545, 'learning_rate': 8.644843137107058e-06, 'epoch': 1.93}
{'loss': 1.0056, 'grad_norm': 2.773132562637329, 'learning_rate': 8.422735529643445e-06, 'epoch': 1.96}
{'loss': 0.9797, 'grad_norm': 2.4771368503570557, 'learning_rate': 8.18711994874345e-06, 'epoch': 2.0}
{'loss': 0.9197, 'grad_norm': 2.8834104537963867, 'learning_rate': 7.938926261462366e-06, 'epoch': 2.02}
{'loss': 0.9586, 'grad_norm': 2.765923023223877, 'learning_rate': 7.679133974894984e-06, 'epoch': 2.06}
{'loss': 0.9469, 'grad_norm': 2.8006813526153564, 'learning_rate': 7.408768370508577e-06, 'epoch': 2.09}
{'loss': 0.9578, 'grad_norm': 2.7993104457855225, 'learning_rate': 7.128896457825364e-06, 'epoch': 2.12}
{'loss': 0.9213, 'grad_norm': 2.6441612243652344, 'learning_rate': 6.840622763423391e-06, 'epoch': 2.15}
{'loss': 0.9413, 'grad_norm': 2.734189033508301, 'learning_rate': 6.545084971874738e-06, 'epoch': 2.18}
{'loss': 0.9027, 'grad_norm': 2.6162407398223877, 'learning_rate': 6.243449435824276e-06, 'epoch': 2.21}
{'loss': 0.921, 'grad_norm': 2.608168840408325, 'learning_rate': 5.936906572928625e-06, 'epoch': 2.24}
{'loss': 0.9532, 'grad_norm': 2.5379106998443604, 'learning_rate': 5.626666167821522e-06, 'epoch': 2.27}
{'loss': 0.9191, 'grad_norm': 2.5438549518585205, 'learning_rate': 5.3139525976465675e-06, 'epoch': 2.31}
{'loss': 0.8998, 'grad_norm': 2.609241485595703, 'learning_rate': 5e-06, 'epoch': 2.34}
{'loss': 0.8644, 'grad_norm': 2.5102057456970215, 'learning_rate': 4.686047402353433e-06, 'epoch': 2.37}
{'loss': 0.9081, 'grad_norm': 2.59531831741333, 'learning_rate': 4.373333832178478e-06, 'epoch': 2.4}
{'loss': 0.8852, 'grad_norm': 2.3269968032836914, 'learning_rate': 4.063093427071376e-06, 'epoch': 2.43}
{'loss': 0.8958, 'grad_norm': 2.38364315032959, 'learning_rate': 3.756550564175727e-06, 'epoch': 2.46}
{'loss': 0.8766, 'grad_norm': 2.5666356086730957, 'learning_rate': 3.4549150281252635e-06, 'epoch': 2.49}
{'loss': 0.9392, 'grad_norm': 2.6291911602020264, 'learning_rate': 3.1593772365766107e-06, 'epoch': 2.52}
{'loss': 0.8713, 'grad_norm': 2.5336101055145264, 'learning_rate': 2.871103542174637e-06, 'epoch': 2.56}
{'loss': 0.8775, 'grad_norm': 2.5388309955596924, 'learning_rate': 2.5912316294914232e-06, 'epoch': 2.59}
{'loss': 0.9034, 'grad_norm': 2.2612640857696533, 'learning_rate': 2.320866025105016e-06, 'epoch': 2.62}
{'loss': 0.8377, 'grad_norm': 2.3169896602630615, 'learning_rate': 2.061073738537635e-06, 'epoch': 2.65}
{'loss': 0.8778, 'grad_norm': 2.57795786857605, 'learning_rate': 1.8128800512565514e-06, 'epoch': 2.68}
{'loss': 0.8595, 'grad_norm': 2.6683106422424316, 'learning_rate': 1.5772644703565564e-06, 'epoch': 2.71}
{'loss': 0.8705, 'grad_norm': 2.3689844608306885, 'learning_rate': 1.3551568628929434e-06, 'epoch': 2.74}
{'loss': 0.8911, 'grad_norm': 3.9930827617645264, 'learning_rate': 1.1474337861210543e-06, 'epoch': 2.77}
{'loss': 0.8454, 'grad_norm': 2.3734183311462402, 'learning_rate': 9.549150281252633e-07, 'epoch': 2.81}
{'loss': 0.8845, 'grad_norm': 2.5739200115203857, 'learning_rate': 7.783603724899258e-07, 'epoch': 2.84}
{'loss': 0.8302, 'grad_norm': 2.42551326751709, 'learning_rate': 6.184665997806827e-07, 'epoch': 2.87}
{'loss': 0.8537, 'grad_norm': 2.327094793319702, 'learning_rate': 4.758647376699033e-07, 'epoch': 2.9}
{'loss': 0.8344, 'grad_norm': 2.5567362308502197, 'learning_rate': 3.511175705587433e-07, 'epoch': 2.93}
{'loss': 0.8695, 'grad_norm': 2.3926467895507812, 'learning_rate': 2.447174185242324e-07, 'epoch': 2.96}
{'loss': 0.8375, 'grad_norm': 2.4161410331726074, 'learning_rate': 1.5708419435684463e-07, 'epoch': 2.99}
{'loss': 0.8935, 'grad_norm': 2.448171615600586, 'learning_rate': 8.856374635655696e-08, 'epoch': 3.02}
{'loss': 0.8697, 'grad_norm': 2.378571033477783, 'learning_rate': 3.9426493427611177e-08, 'epoch': 3.05}
{'loss': 0.8451, 'grad_norm': 2.516399383544922, 'learning_rate': 9.866357858642206e-09, 'epoch': 3.08}
{'loss': 0.8429, 'grad_norm': 2.398592472076416, 'learning_rate': 0.0, 'epoch': 3.12}
{'train_runtime': 2191.5452, 'train_samples_per_second': 7.301, 'train_steps_per_second': 0.456, 'train_loss': 1.7456224393844604, 'epoch': 3.12}
